,precision,recall,f1-score,support
0,0.9610837438423645,0.9065985130111525,0.9330463892874223,2152.0
1,0.7731376975169301,0.8965968586387435,0.8303030303030303,764.0
accuracy,0.9039780521262003,0.9039780521262003,0.9039780521262003,0.9039780521262003
macro avg,0.8671107206796473,0.9015976858249479,0.8816747097952263,2916.0
weighted avg,0.9118413640780874,0.9039780521262003,0.906127347358727,2916.0
roc_auc,,,0.9688023073629305,
