simulation_id,time,interval,perturbation_density,recovery_beta,gamma,decay,noise,mean_r,min_r,mean_D,max_D,reachable_fraction,effective_edges,edge_fraction,weighted_mean_path_cost,weighted_max_path_cost,weighted_efficiency,future_weighted_efficiency,future_reachable_fraction,future_deterioration,future_efficiency_delta,noise_numeric
0,0,4,0.25,0.012,0.16799999999999998,0.004,False,1.0,1.0,0.0,0.0,1.0,264,1.0,10.476190476190476,20.952380952380953,0.11652997323553944,0.10790383087855925,0.8888888888888888,1,0.008626142356980199,0
0,1,4,0.25,0.012,0.16799999999999998,0.004,False,1.0,1.0,0.0,0.0,1.0,264,1.0,10.476190476190476,20.952380952380953,0.11652997323553944,0.10764091479164749,0.8888888888888888,1,0.008889058443891956,0
0,2,4,0.25,0.012,0.16799999999999998,0.004,False,1.0,1.0,0.0,0.0,1.0,264,1.0,10.476190476190476,20.952380952380953,0.11652997323553944,0.10693264364356447,0.8888888888888888,1,0.00959732959197497,0
0,3,4,0.25,0.012,0.16799999999999998,0.004,False,1.0,1.0,0.0,0.0,1.0,264,1.0,10.476190476190476,20.952380952380953,0.11652997323553944,0.1065018136313587,0.8888888888888888,1,0.010028159604180742,0
0,4,4,0.25,0.012,0.16799999999999998,0.004,False,1.0,1.0,0.0,0.0,1.0,264,1.0,10.476190476190476,20.952380952380953,0.11652997323553944,0.10613333066653982,0.8888888888888888,1,0.010396642568999623,0
0,5,4,0.25,0.012,0.16799999999999998,0.004,False,1.0,1.0,0.0,0.0,1.0,264,1.0,10.476190476190476,20.952380952380953,0.11652997323553944,0.10571682939551777,0.8888888888888888,1,0.010813143840021675,0
0,6,4,0.25,0.012,0.16799999999999998,0.004,False,1.0,1.0,0.0,0.0,1.0,264,1.0,10.476190476190476,20.952380952380953,0.11652997323553944,0.10529907237642701,0.8888888888888888,1,0.011230900859112436,0
0,7,4,0.25,0.012,0.16799999999999998,0.004,False,1.0,1.0,0.0,0.0,1.0,264,1.0,10.476190476190476,20.952380952380953,0.11652997323553944,0.10530052509752189,0.8888888888888888,1,0.011229448138017559,0
0,8,4,0.25,0.012,0.16799999999999998,0.004,False,1.0,1.0,0.0,0.0,1.0,264,1.0,10.476190476190476,20.952380952380953,0.11652997323553944,0.1053019732339854,0.8888888888888888,1,0.01122800000155405,0
0,9,4,0.25,0.012,0.16799999999999998,0.004,False,1.0,1.0,0.0,0.0,1.0,264,1.0,10.476190476190476,20.952380952380953,0.11652997323553944,0.10530341679603133,0.8888888888888888,1,0.011226556439508109,0
0,10,4,0.25,0.012,0.16799999999999998,0.004,False,0.9869632324238649,0.3999999999999999,0.06518383788067579,3.0,0.9722222222222222,254,0.9621212121212122,10.820488708430757,20.952380952380953,0.11333346113224836,0.10530485579388081,0.8888888888888888,1,0.00802860533836755,0
0,11,4,0.25,0.012,0.16799999999999998,0.004,False,0.9768410110930472,0.0,0.06492310252915309,2.988,0.9722222222222222,254,0.9621212121212122,10.879168929797821,20.952380952380953,0.11289525272009406,0.10530629023776193,0.8888888888888888,1,0.007588962482332123,0
0,12,4,0.25,0.012,0.16799999999999998,0.004,False,0.9696145044016996,0.0,0.06466341011903648,2.976048,0.9722222222222222,254,0.9621212121212122,10.926418240988268,20.952380952380953,0.11255986113057147,0.10530772013790957,0.8888888888888888,1,0.007252140992661901,0
0,13,4,0.25,0.012,0.16799999999999998,0.004,False,0.9625044001155475,0.0,0.06440475647856032,2.964143808,0.9375,243,0.9204545454545454,10.983509813382701,20.952380952380953,0.1122105754275799,0.1053091455045651,0.8888888888888888,1,0.00690142992301479,0
0,14,4,0.25,0.012,0.16799999999999998,0.004,False,0.9498692661574447,0.0,0.1293309753333219,5.9522872327680005,0.9375,243,0.9204545454545454,11.289902536316175,31.10417606130907,0.1106008673895976,0.10531056634797614,0.8888888888888888,1,0.0052903010416214535,0
0,15,4,0.25,0.012,0.16799999999999998,0.004,False,0.943018267232209,0.0,0.1288136514319886,5.928478083836929,0.9375,243,0.9204545454545454,11.35430656854258,32.50614613665211,0.11025306005615966,0.10531198267839635,0.8888888888888888,1,0.004941077377763309,0
0,16,4,0.25,0.012,0.16799999999999998,0.004,False,0.9362779572316682,0.0,0.12829839682626065,5.904764171501581,0.9375,243,0.9204545454545454,11.430456554298566,34.465628727572096,0.10989980285151549,0.10531339450608508,0.8888888888888888,1,0.004586408345430407,0
0,17,4,0.25,0.012,0.16799999999999998,0.004,False,0.9296468939809756,0.0,0.1277852032389556,5.881145114815575,0.9375,243,0.9204545454545454,11.538079492398147,37.42229561422083,0.10949875904910827,0.10531480184130726,0.8888888888888888,1,0.0041839572078010145,0
0,18,4,0.25,0.012,0.16799999999999998,0.004,False,0.9193569367075093,0.0,0.1924579003066756,8.857620534356313,0.9375,243,0.9204545454545454,11.928581914823216,47.80096521243118,0.10838356702601998,0.10531620469433302,0.8888888888888888,1,0.0030673623316869597,0
