simulation_id,time,interval,perturbation_density,recovery_beta,gamma,decay,noise,mean_r,min_r,mean_D,max_D,reachable_fraction,effective_edges,edge_fraction,weighted_mean_path_cost,weighted_max_path_cost,weighted_efficiency
0,0,4,0.25,0.012,0.16799999999999998,0.004,False,1.0,1.0,0.0,0.0,1.0,264,1.0,10.476190476190476,20.952380952380953,0.11652997323553944
0,1,4,0.25,0.012,0.16799999999999998,0.004,False,1.0,1.0,0.0,0.0,1.0,264,1.0,10.476190476190476,20.952380952380953,0.11652997323553944
0,2,4,0.25,0.012,0.16799999999999998,0.004,False,1.0,1.0,0.0,0.0,1.0,264,1.0,10.476190476190476,20.952380952380953,0.11652997323553944
0,3,4,0.25,0.012,0.16799999999999998,0.004,False,1.0,1.0,0.0,0.0,1.0,264,1.0,10.476190476190476,20.952380952380953,0.11652997323553944
0,4,4,0.25,0.012,0.16799999999999998,0.004,False,1.0,1.0,0.0,0.0,1.0,264,1.0,10.476190476190476,20.952380952380953,0.11652997323553944
0,5,4,0.25,0.012,0.16799999999999998,0.004,False,1.0,1.0,0.0,0.0,1.0,264,1.0,10.476190476190476,20.952380952380953,0.11652997323553944
0,6,4,0.25,0.012,0.16799999999999998,0.004,False,1.0,1.0,0.0,0.0,1.0,264,1.0,10.476190476190476,20.952380952380953,0.11652997323553944
0,7,4,0.25,0.012,0.16799999999999998,0.004,False,1.0,1.0,0.0,0.0,1.0,264,1.0,10.476190476190476,20.952380952380953,0.11652997323553944
0,8,4,0.25,0.012,0.16799999999999998,0.004,False,1.0,1.0,0.0,0.0,1.0,264,1.0,10.476190476190476,20.952380952380953,0.11652997323553944
0,9,4,0.25,0.012,0.16799999999999998,0.004,False,1.0,1.0,0.0,0.0,1.0,264,1.0,10.476190476190476,20.952380952380953,0.11652997323553944
0,10,4,0.25,0.012,0.16799999999999998,0.004,False,0.9869632324238649,0.3999999999999999,0.06518383788067579,3.0,0.9722222222222222,254,0.9621212121212122,10.820488708430757,20.952380952380953,0.11333346113224836
0,11,4,0.25,0.012,0.16799999999999998,0.004,False,0.9768410110930472,0.0,0.06492310252915309,2.988,0.9722222222222222,254,0.9621212121212122,10.879168929797821,20.952380952380953,0.11289525272009406
0,12,4,0.25,0.012,0.16799999999999998,0.004,False,0.9696145044016996,0.0,0.06466341011903648,2.976048,0.9722222222222222,254,0.9621212121212122,10.926418240988268,20.952380952380953,0.11255986113057147
0,13,4,0.25,0.012,0.16799999999999998,0.004,False,0.9625044001155475,0.0,0.06440475647856032,2.964143808,0.9375,243,0.9204545454545454,10.983509813382701,20.952380952380953,0.1122105754275799
0,14,4,0.25,0.012,0.16799999999999998,0.004,False,0.9498692661574447,0.0,0.1293309753333219,5.9522872327680005,0.9375,243,0.9204545454545454,11.289902536316175,31.10417606130907,0.1106008673895976
0,15,4,0.25,0.012,0.16799999999999998,0.004,False,0.943018267232209,0.0,0.1288136514319886,5.928478083836929,0.9375,243,0.9204545454545454,11.35430656854258,32.50614613665211,0.11025306005615966
0,16,4,0.25,0.012,0.16799999999999998,0.004,False,0.9362779572316682,0.0,0.12829839682626065,5.904764171501581,0.9375,243,0.9204545454545454,11.430456554298566,34.465628727572096,0.10989980285151549
0,17,4,0.25,0.012,0.16799999999999998,0.004,False,0.9296468939809756,0.0,0.1277852032389556,5.881145114815575,0.9375,243,0.9204545454545454,11.538079492398147,37.42229561422083,0.10949875904910827
0,18,4,0.25,0.012,0.16799999999999998,0.004,False,0.9193569367075093,0.0,0.1924579003066756,8.857620534356313,0.9375,243,0.9204545454545454,11.928581914823216,47.80096521243118,0.10838356702601998
0,19,4,0.25,0.012,0.16799999999999998,0.004,False,0.9159731946342009,0.0,0.19168806870544886,8.822190052218888,0.8888888888888888,228,0.8636363636363636,11.976774617950946,48.27497868969749,0.10815077976092986
0,20,4,0.25,0.012,0.16799999999999998,0.004,False,0.9126444633011036,0.0,0.1909213164306271,8.786901292010013,0.8888888888888888,228,0.8636363636363636,12.031352194241984,48.83095687525828,0.10790383087855925
0,21,4,0.25,0.012,0.16799999999999998,0.004,False,0.9093700249559933,0.0,0.19015763116490458,8.751753686841973,0.8888888888888888,228,0.8636363636363636,12.093976152294228,49.49341163710174,0.10764091479164749
0,22,4,0.25,0.012,0.16799999999999998,0.004,False,0.9046970478627703,0.0,0.2545808385209208,11.716746672094605,0.8888888888888888,228,0.8636363636363636,12.283539385194208,51.49335719590949,0.10693264364356447
0,23,4,0.25,0.012,0.16799999999999998,0.004,False,0.9003267198029149,0.0,0.25356251516683703,11.669879685406226,0.8888888888888888,228,0.8636363636363636,12.426728459575594,53.18126989714347,0.1065018136313587
0,24,4,0.25,0.012,0.16799999999999998,0.004,False,0.8960278915337199,0.0,0.2525482651061697,11.623200166664601,0.8888888888888888,228,0.8636363636363636,12.590259798162725,55.63927714666213,0.10613333066653982
0,25,4,0.25,0.012,0.16799999999999998,0.004,False,0.8917996288342813,0.0,0.2515380720457451,11.576707365997942,0.8888888888888888,228,0.8636363636363636,12.84412613149416,59.5874653027749,0.10571682939551777
0,26,4,0.25,0.012,0.16799999999999998,0.004,False,0.8888888888888888,0.0,0.31571575763823784,14.53040053653395,0.8888888888888888,228,0.8636363636363636,13.149933508588838,64.30178252968051,0.10529907237642701
0,27,4,0.25,0.012,0.16799999999999998,0.004,False,0.8888888888888888,0.0,0.3144528946076849,14.472278934387814,0.8888888888888888,228,0.8636363636363636,13.149684405392817,64.29954060091629,0.10530052509752189
0,28,4,0.25,0.012,0.16799999999999998,0.004,False,0.8888888888888888,0.0,0.31319508302925414,14.414389818650264,0.8888888888888888,228,0.8636363636363636,13.149436235529837,64.29730707214948,0.1053019732339854
0,29,4,0.25,0.012,0.16799999999999998,0.004,False,0.8888888888888888,0.0,0.31194230269713713,14.356732259375663,0.8888888888888888,228,0.8636363636363636,13.149188995746378,64.29508191409835,0.10530341679603133
0,30,4,0.25,0.012,0.16799999999999998,0.004,False,0.8888888888888888,0.0,0.3106945334863486,14.29930533033816,0.8888888888888888,228,0.8636363636363636,13.14894268279837,64.29286509756628,0.10530485579388081
0,31,4,0.25,0.012,0.16799999999999998,0.004,False,0.8888888888888888,0.0,0.3094517553524032,14.242108109016808,0.8888888888888888,228,0.8636363636363636,13.148697293451194,64.2906565934417,0.10530629023776193
